S_ID,PLACE_ID,PLACE_NAME,DESCRIPTION,LATITUDE,LONGITUDE,AREA,CITY,DISTRICT,STATE,COUNTRY,PINCODE,CATEGORY,VISIT_TIME,RATING,TAG_1,TAG_2,TAG_3
1,INOD01001,SAILA SRIKHETRA,"Saila Srikhetra Temple is located on the top of Sunasagad hill and is around 1.5 km distance from Angul Bus Stand. The Jagannath Temple at Angul is known as Saila Srikhetra. It is a famous Hindu temple dedicated to Lord Jagannath, Lord Balabhadra, Devi Subhadra and Sudarshan. The temple is like the model of the world-famous Lord Jagannath Temple of Puri. The foundation of this huge temple was laid in 1996. and was completed with the help of the administration and the local people of Angul. The District administration formed a trustee for the temple. Saila ShreeKhetra Mandir is a famous temple in Angul, Odisha.",20.83439032,85.09291941,MISHRAPADA,ANGUL,ANGUL,ODISHA,INDIA,759106,TEMPLES,ALL TIME,10,SPIRITUAL,JAGANNATH,WORLD FAMOUS
2,INOD01002,TIKARPADA WILDLIFE SANCTUARY,"The Tikarpada Wildlife Sanctuary spread across an area of 795.52 km2, the wildlife sanctuary is encircled by the fantabulous Satkosia gorge, a 22 km long gorge formed by the flowing Mahanadi amidst bounteous hills. A “Rescue & Rehabilitation Centre” situated in the Mahanadi eco system aids in the sustainment of various endangered crocodiles.The wildlife sanctuary houses numerous species of fauna such as tigers, pangolins, Indian pitta, red jungle fowl, Indian adjutant stroke etc. some of the other species found here are rhesus macaques, leopards, spotted deer, wild cats.",20.68718615,84.89999958,TIKARPADA,ANGUL,ANGUL,ODISHA,INDIA,759132,SANCTUARY,ALL TIME,9,NATURAL,WILDLIFE,WINTER
3,INOD01003,MAA HINGULA TEMPLE,"Maa Hingula temple is situated on the bank of the river Simhada. It is 14 km away from Talcher and 20 km from Angul town. The Goddess has worshipped in a state of burning fire at a spot near the Hingula temple in Gopal Prasad. Maa Hingula is also known as Fire Goddess. The popular function of this temple is Hingula Yatra in the month of Chaitra, which is observed here for Nine days. Maa Hingula Mandir is a famous temple in Angul, Odisha.The temple is one of the renowned Shakti Pitha in Odisha. Maa Hingula has believed to be the fire in the Kitchen of Lord Jagannath at Puri. On Sukla Chaturdashi of Chaitra month, the Goddess takes leave from Sri mandir kitchen and gives darshan to devotees in Hingula Yatra. Hingula temple is the best tourist places in Angul, Odisha.",20.9727412,85.04096766,GOPALPRASAD,TALCHER,ANGUL,ODISHA,INDIA,759103,TEMPLES,ALL TIME,9,SPIRITUAL,GODDESS,DEVI PUJA
4,INOD01004,SATAKOSIA TIGER RESERVE,"The Satkosia tiger reserve in Odisha was brought about in 2007 by merging two adjoining wildlife sanctuaries that were notified decades ago --- Satkosia, which spanned nearly 800 sq kms, and the much smaller Baisipalli. The Mahanadi elephant reserve is also a part of this area. The Satkosia gorge is nestled within the tiger reserve.Today, the reserve's 964 sq kms spread covers four districts (Angul, Cuttack, Nayagarh and Boudh), with a core area of 524 sq kms. The setting by the mighty Mahanadi is made even more scenic by deciduous and peninsular forests, the habitat of tigers, leopards, elephants, gaurs, sambars, nilgai, sloth bears, mouse deer and chousinghas, with the gorge itself home to gharials, mugger crocodiles and rare fresh water turtles such as the Chitra indica and Aspidiretes gangeticus.",20.54080009,84.83139234,KATRANGA,ANGUL,ANGUL,ODISHA,INDIA,759132,SANCTUARY,ALL TIME,8,NATURAL,TIGER,WILDLIFE
5,INOD01005,SURESWARI WATERFALL,"The Sureswari waterfall is located inside the Bampur forest range in Angul. It is 40 km distance from Bampur chock on the way to Cuttack. The waterfall is surrounding by the dense and thick forest attract thousands of visitors. The scenic beauty of the Sureswari waterfall is so beautiful that tourists have come to see the falls in the winter. It is a good place for picnics in the winter season. The Sureswari waterfall is one of the best tourist places in Angul, Odisha.",21.06276414,84.57057065,BAMUR,ATHAMALLIK,ANGUL,ODISHA,INDIA,759126,WATERFALLS,WINTER,9,NATURAL,MOUNTAINS,FOREST
6,INOD02006,JOGINDRA VILLA PALACE,"Jogindra Villa Palace is situated on the bank of the river Mahanadi in Boudh town. Jogindra Villa Palace is the of the ex-Ruler of Boudh, locally known as Rajabati. This palace was constructed during the reign of Raja Jogindra Dev. The Villa is a picturesque and handsome building commanding a fine view of Mahanadi. Jogindra Rajabati is One of the oldest King’s Palace in Odisha. Jogindra Villa Palace is a tourist attraction places near Boudh town.",20.83987991,84.32498501,BAUDHGARH,BAUDH SADAR,BOUDH,ODISHA,INDIA,762014,PALACE,ALL TIME,9,HISTORICAL,ARCHITECTURE,VILLA
7,INOD02007,NAYAKPADA CAVE,"Nayakpada Cave is located at the top of the hill, and it is 10 km distance from Boudh city. This cave is associated with mythology. Once upon a time, this cave was the ashram of Saddhus. The forest here is rich in different types of flora and fauna. According to a story in the Madala dynasty and some historical evidence, during the reign of Emperor Sovan Dev, the Javanese king Raktabahu attacked Shrikshetra Puri. The apprehension of damage to deity Lord Sri Jagannath. They believed that Sri Jagannath (Purushottam) was Parama Vishnu and undergrounded (Patali), who believed in Vaishnavism and worshipped Lord Nilamadhaba at Gandharadi, took away the deities to Dhritipura under their territory. Naik Pada Cave is the best tourist attraction in Boudh District.",20.77937842,84.28408512,BIRIGARH,SARSARA,BOUDH,ODISHA,INDIA,762026,CAVES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,HILLS
8,INOD02008,PADMATOLA SANCTUARY,"Odisha is famous for Padmatola Sanctuary and Satakosia Gorge for its lush green forests and rich wildlife. It is loacted about 80 km distance from Boudh town. The sanctuary derives its name from Sata and Kosh meaning 14 miles or 22 km long. The majestic Satkosia gorge is acclaimed as one of the most enchanting spots in the country. The confluence point of Chhotanagpur plateau forests, dry deciduous forests and moist peninsular sal forests. This place is a stronghold of tiger, leopard, elephant, spotted deer, chousingha and sloth bear. There are varieties of migratory birds, Gharial, Mugger, Crocodile, Turtles, and poisonous and non-poisonous snakes found here. Padmatola Wildlife Sanctuary is a tourist attraction places in Boudh.",20.54866115,84.76421905,PADMATOLA,HARABHANGA,BOUDH,ODISHA,INDIA,762020,SANCTUARY,WINTER,8,NATURAL,WILDLIFE,PLATEAU
9,INOD02009,CHARISAMBHU TEMPLE,"Charisambhu Temple is a unique centre of Saivism and Vaishnavism. Lord Vishnu and Lord Shiva Worshipped separately with two different temples in the same temple premises. There is a twin temple of Nilamadhab and Siddheswar on the bank of the river Mahanadi. The construction method of both temples is attractive. Gandharadi Charisambhu Mandir is a famous tempe in Boudh District.The Siva Linga has fixed on the pinnacle of the Siddheswar temple, a statue of Madhab on the top of the Nilamadhab temple instead of Trisul and Nilachakra, which is a specific and rare sight in comparison to other temples of Odisha. The sunlight touching the linga of Lord Siddheswar at the time of sunrise is also an attractive sight to the visitors.",20.87505265,84.20542844,RAMPUR,BAUDH SADAR,BOUDH,ODISHA,INDIA,762014,TEMPLES,ALL TIME,10,SPIRITUAL,ARCHITECTURE,UNIQUE
10,INOD02010,CHANDI TEMPLE,"Chandi Temple is situated in Chanditala and is 12 km distance from Boudh town. Goddess Chandi is the presiding deity of this place. It has believed that Maa Chandi fulfills the wishes of the devotees. The temple is one of the Saptamatruka Pitha in Odisha. The Charisambhu Temple has situated at a 4 km distance from Chandi Temple. Chanditala Mandir is one of the tourist places in Boudh, Odisha.",20.86208076,84.21430119,CHANDITALA,BAUDH SADAR,BOUDH,ODISHA,INDIA,762014,TEMPLES,ALL TIME,9,SPIRITUAL,MYTHOLOGICAL,DEVI PUJA
11,INOD03011,GANDHAMARDAN HILLS,"Gandhamardhan Hills is a hill located between Balangir and Bargarh district of Odisha. These hills are known for medicinal plants which are not found anywhere else Gandhamardan Parvat is the Best Hill station in Odisha. There is a Bauxite reserve that is planned for exploration by the state government through a private venture. This hill also has a lot of historic importance as it was once a seat of Buddhist culture. To date, many ruins are found on the plateau at the hilltop. According to Hindu theology, Lord Hanuman carried this hill on his shoulders from the Himalayas to save the life of Laxman. Gandhamardhan hills is a tourist attraction places in Balangir, Odisha.",20.87465021,82.84252043,MAHULPALI,PATNAGARH,BALANGIR,ODISHA,INDIA,767028,HILLS,ALL TIME,10,NATURAL,MYTHOLOGICAL,ADVENTURE
12,INOD03012, HARISHANKAR TEMPLE,"Sri Harisankar Devasthana is a temple on the slopes of Gandhamardhan hills, Odisha in India. It is popular for its scenes of nature and connection to two Hindu lords, Vishnu and Shiva. As a holy place, along with a stream passing on the granite bed, it has given some visitors a feeling of peace. On the opposite of side of the Gandhamardhan hills is the temple of Nrusinghanath.In early days at the time of 14th century Harishankar is discovered by the king Chauhan. On that time deity are worshipped in this temple, But in 12th century the temple is again created by the king Vaijjal Dev Chauhan and queen Durlabha devi. Now Vishnu and Shiva are worshipped in this temple. Harishankar temple is located in one site of hill Gandhamardhan. A small stream is also here which is coming from the hill. The climate of the place is very cool and peaceful; tourist can enjoy and spend a very memorable time on this place. The nature of the place is very nice.",20.85452043,82.86072272,KHAPRAKHOL,PATNAGARH,BALANGIR,ODISHA,INDIA,767028,TEMPLES,ALL TIME,9,SPIRITUAL,HISTORICAL,HILLS
13,INOD03013,TUREKELA WILDLIFE SANCTUARY,"Turekela wildlife sanctuary  is located 98 km from distance Balangir. It is a place suitable for group camping and is important for viewing colourful wildlife like tigers, deers, bears, foxes, elephants, wild birds, monkeys, wolfs. This place is covered with greeny dense forest. The place is beautiful and attractive to visitors and touristy. The natural beauty of the hills and the dense forest attracts many tourists during the winter. Turekela wildlife sanctuary is a tourist attraction places in Balangir, Odisha.",20.51967527,82.82335972,TUREKELA,KANTABANJI,BALANGIR,ODISHA,INDIA,767060,SANCTUARY,WINTER,8,NATURAL,WILDLIFE,ADVENTURE
